sample_id,cat,domain,level,native_chain_length,critical_path_length,parallelism_ratio,candidate_orderings,retained_orderings,filtered_orderings,bucket,max_parallelism,retained_ordering_distance_mean,retained_ordering_distance_median,retained_ordering_distance_max
3ff6b7a9-a5bd-4412-ad92-0cd0d45c0fee,A,Text,2,6,6,0.0,1,0,1,native-only,1,,,
708b99c5-e4a7-49cb-a5cf-933c8d46470d,A,Text,2,5,4,0.19999999999999996,2,1,0,exactly-one,2,0.1,0.1,0.1
0a65cb96-cb6e-4a6a-8aae-c1084f613456,A,Text,2,11,11,0.0,1,0,0,native-only,1,,,
11af4e1a-5f45-467d-9aeb-46f4bb0bf034,A,Text,1,5,3,0.4,6,5,0,multi-order-rich,2,0.24,0.2,0.4
e142056d-56ab-4352-b091-b56054bd1359,A,Text,1,8,6,0.25,8,7,0,multi-order-rich,2,0.06122448979591836,0.07142857142857142,0.10714285714285714
50ad0280-0819-4bd9-b275-5de32d3b5bcb,A,Text,1,7,5,0.2857142857142857,42,41,0,multi-order-rich,3,0.2682926829268293,0.2857142857142857,0.5238095238095238
65da0822-a48a-4a68-bbad-8ed1b835a834,A,Text,2,7,7,0.0,1,0,0,native-only,1,,,
0bb3b44a-ede5-4db5-a520-4e844b0079c5,A,Text,2,4,4,0.0,1,0,0,native-only,1,,,
7673d772-ef80-4f0f-a602-1bf4485c9b43,A,Text,1,7,7,0.0,1,0,1,native-only,1,,,
73c1b9fe-ee1d-4cf4-96ca-35c08f97b054,A,Text,2,7,7,0.0,1,0,0,native-only,1,,,
c365c1c7-a3db-4d5e-a9a1-66f56eae7865,A,Text,1,4,3,0.25,2,1,1,exactly-one,2,0.16666666666666666,0.16666666666666666,0.16666666666666666
ad2b4d70-9314-4fe6-bfbe-894a45f6055f,A,Text,3,6,6,0.0,1,0,0,native-only,1,,,
7d4a7d1d-cac6-44a8-96e8-ea9584a70825,A,Text,1,5,5,0.0,1,0,0,native-only,1,,,
dc22a632-937f-4e6a-b72f-ba0ff3f5ff97,A,Text,1,9,9,0.0,1,0,0,native-only,1,,,
e2d69698-bc99-4e85-9880-67eaccd66e6c,A,Text,2,7,6,0.1428571428571429,2,1,0,exactly-one,2,0.047619047619047616,0.047619047619047616,0.047619047619047616
3f57289b-8c60-48be-bd80-01f8099ca449,A,Text,1,4,4,0.0,1,0,1,native-only,1,,,
a56f1527-3abf-41d6-91f8-7296d6336c3f,A,Text,2,6,6,0.0,1,0,0,native-only,1,,,
23dd907f-1261-4488-b21c-e9185af91d5e,A,Text,1,6,6,0.0,1,0,0,native-only,1,,,
42d4198c-5895-4f0a-b0c0-424a66465d83,A,Text,2,8,7,0.125,3,2,0,multi-order-rich,2,0.05357142857142857,0.05357142857142857,0.07142857142857142
a26649c6-1cb2-470a-871e-6910c64c3e53,A,Text,2,12,12,0.0,1,0,0,native-only,1,,,
d5141ca5-e7a0-469f-bf3e-e773507c86e2,A,Text,2,8,7,0.125,7,5,1,multi-order-rich,2,0.14285714285714285,0.14285714285714285,0.21428571428571427
9e1fc53b-46ff-49a1-9d05-9e6faac34cc5,A,Text,3,20,13,0.35,50,50,0,multi-order-rich,4,0.1996842105263158,0.2,0.23684210526315788
840bfca7-4f7b-481a-8794-c560c340185d,A,Text,1,4,4,0.0,1,0,1,native-only,1,,,
1dcc160f-c187-48c2-b68e-319bd4354f3d,A,Text,2,10,10,0.0,1,0,0,native-only,1,,,
e0c10771-d627-4fd7-9694-05348e54ee36,A,Text,2,3,3,0.0,1,0,0,native-only,1,,,
a0068077-79f4-461a-adfe-75c1a4148545,A,Text,1,8,8,0.0,1,0,1,native-only,1,,,
